Order_ID,Order_Date,Order_Priority,Ord_id
10945,3/1/2012,MEDIUM,Ord_68
11137,29-11-2012,HIGH,Ord_69
11202,17-03-2012,MEDIUM,Ord_70
11456,12/4/2010,LOW,Ord_71
11460,24-08-2010,HIGH,Ord_72
11495,4/7/2011,HIGH,Ord_73
11911,10/11/2010,CRITICAL,Ord_74
11941,24-06-2010,CRITICAL,Ord_75
12096,19-09-2012,MEDIUM,Ord_76
12289,24-12-2011,LOW,Ord_77
12352,23-03-2012,MEDIUM,Ord_78
12419,15-10-2011,CRITICAL,Ord_79
12485,7/8/2010,CRITICAL,Ord_80
12544,3/3/2009,LOW,Ord_81
12704,9/2/2010,LOW,Ord_82
12771,17-01-2009,CRITICAL,Ord_83
12929,30-08-2010,CRITICAL,Ord_84
13280,11/9/2009,HIGH,Ord_85
13313,16-07-2009,NOT SPECIFIED,Ord_86
13346,15-11-2012,LOW,Ord_87
13702,10/9/2011,LOW,Ord_88
13795,10/4/2011,NOT SPECIFIED,Ord_89
14116,9/10/2011,HIGH,Ord_90
14372,23-10-2012,CRITICAL,Ord_91
14726,8/1/2012,LOW,Ord_92
14819,25-01-2010,NOT SPECIFIED,Ord_93
15106,27-01-2011,NOT SPECIFIED,Ord_94
15108,27-08-2009,HIGH,Ord_95
15205,17-03-2011,CRITICAL,Ord_96
15591,6/6/2012,CRITICAL,Ord_97
15907,11/4/2011,HIGH,Ord_98
15937,6/11/2012,LOW,Ord_99
16039,16-05-2012,HIGH,Ord_100
16193,9/4/2012,NOT SPECIFIED,Ord_101
16423,5/8/2012,MEDIUM,Ord_102
16451,22-07-2009,NOT SPECIFIED,Ord_103
16545,9/5/2010,NOT SPECIFIED,Ord_104
16547,18-02-2009,NOT SPECIFIED,Ord_105
16706,27-06-2012,HIGH,Ord_106
16741,30-09-2010,MEDIUM,Ord_107
16932,15-04-2010,CRITICAL,Ord_108
17283,14-09-2011,NOT SPECIFIED,Ord_109
17286,21-09-2010,HIGH,Ord_110
17409,17-08-2010,NOT SPECIFIED,Ord_111
17764,16-09-2009,LOW,Ord_112
18080,22-06-2009,HIGH,Ord_113
18113,28-08-2012,NOT SPECIFIED,Ord_114
18144,7/6/2011,CRITICAL,Ord_115
18308,9/10/2009,NOT SPECIFIED,Ord_116
18887,5/12/2010,NOT SPECIFIED,Ord_117
19010,7/6/2009,LOW,Ord_118
19078,27-07-2009,CRITICAL,Ord_119
19138,5/9/2011,LOW,Ord_120
19655,11/1/2009,HIGH,Ord_121
19686,15-08-2010,MEDIUM,Ord_122
20007,5/8/2009,NOT SPECIFIED,Ord_123
20071,17-09-2011,MEDIUM,Ord_124
20160,22-10-2011,LOW,Ord_125
20263,14-11-2009,MEDIUM,Ord_126
21285,3/7/2010,MEDIUM,Ord_127
21383,30-01-2009,LOW,Ord_128
21607,15-03-2012,NOT SPECIFIED,Ord_129
21636,10/8/2009,LOW,Ord_130
21889,1/4/2010,LOW,Ord_131
22151,31-07-2010,HIGH,Ord_132
22342,29-05-2009,LOW,Ord_133
22469,11/10/2010,HIGH,Ord_134
22501,18-05-2010,HIGH,Ord_135
22532,8/2/2011,CRITICAL,Ord_136
23264,7/12/2010,CRITICAL,Ord_137
23488,6/1/2009,CRITICAL,Ord_138
23584,12/3/2012,CRITICAL,Ord_139
24007,26-08-2010,LOW,Ord_140
24038,20-06-2011,HIGH,Ord_141
24097,4/8/2010,HIGH,Ord_142
24128,23-11-2010,HIGH,Ord_143
24294,2/8/2009,NOT SPECIFIED,Ord_144
24387,10/8/2011,CRITICAL,Ord_145
24515,6/5/2010,CRITICAL,Ord_146
24743,28-06-2012,LOW,Ord_147
24871,23-03-2011,MEDIUM,Ord_148
25318,19-11-2011,CRITICAL,Ord_149
25377,26-11-2012,LOW,Ord_150
25634,29-07-2010,NOT SPECIFIED,Ord_151
25733,12/5/2012,LOW,Ord_152
25767,3/3/2012,HIGH,Ord_153
26023,20-08-2010,HIGH,Ord_154
26051,27-06-2010,NOT SPECIFIED,Ord_155
26116,29-10-2012,CRITICAL,Ord_156
26182,16-01-2010,NOT SPECIFIED,Ord_157
26272,29-06-2012,LOW,Ord_158
26370,8/8/2011,NOT SPECIFIED,Ord_159
26499,21-02-2010,MEDIUM,Ord_160
26531,20-06-2011,MEDIUM,Ord_161
26567,4/9/2009,CRITICAL,Ord_162
26854,21-06-2009,NOT SPECIFIED,Ord_163
27109,8/2/2012,CRITICAL,Ord_164
27111,11/3/2009,HIGH,Ord_165
27264,4/6/2011,LOW,Ord_166
27392,2/3/2012,LOW,Ord_167
27553,12/8/2011,MEDIUM,Ord_168
27555,1/9/2009,CRITICAL,Ord_169
27680,26-01-2010,CRITICAL,Ord_170
27778,2/9/2011,CRITICAL,Ord_171
27909,7/2/2012,CRITICAL,Ord_172
28003,19-03-2011,CRITICAL,Ord_173
28035,8/5/2011,NOT SPECIFIED,Ord_174
28135,25-09-2009,CRITICAL,Ord_175
28165,9/7/2012,NOT SPECIFIED,Ord_176
28289,14-01-2010,HIGH,Ord_177
28486,26-08-2009,HIGH,Ord_178
28675,8/10/2009,CRITICAL,Ord_179
28870,10/11/2011,HIGH,Ord_180
28871,15-04-2012,HIGH,Ord_181
29030,2/1/2012,MEDIUM,Ord_182
29095,8/3/2011,NOT SPECIFIED,Ord_183
29287,2/7/2009,HIGH,Ord_184
29510,15-04-2011,CRITICAL,Ord_185
29795,25-11-2011,HIGH,Ord_186
29861,25-04-2012,CRITICAL,Ord_187
30658,26-03-2011,MEDIUM,Ord_188
30947,14-07-2010,LOW,Ord_189
31077,23-10-2010,NOT SPECIFIED,Ord_190
31111,24-08-2009,NOT SPECIFIED,Ord_191
31169,9/6/2011,LOW,Ord_192
31270,23-11-2012,MEDIUM,Ord_193
31364,1/5/2009,NOT SPECIFIED,Ord_194
31393,11/5/2012,CRITICAL,Ord_195
31492,15-10-2010,CRITICAL,Ord_196
31558,23-07-2011,LOW,Ord_197
31618,11/7/2011,CRITICAL,Ord_198
31684,16-09-2012,CRITICAL,Ord_199
31781,16-01-2009,MEDIUM,Ord_200
32193,20-10-2010,LOW,Ord_201
32229,30-08-2010,HIGH,Ord_202
32743,7/5/2010,CRITICAL,Ord_203
32806,21-06-2011,CRITICAL,Ord_204
33123,24-11-2010,MEDIUM,Ord_205
33159,27-04-2012,MEDIUM,Ord_206
33186,28-08-2012,LOW,Ord_207
33377,31-07-2011,HIGH,Ord_208
33444,6/10/2012,MEDIUM,Ord_209
33703,6/2/2010,NOT SPECIFIED,Ord_210
33734,17-10-2011,NOT SPECIFIED,Ord_211
33888,20-08-2009,NOT SPECIFIED,Ord_212
33894,14-06-2010,CRITICAL,Ord_213
33922,27-02-2010,NOT SPECIFIED,Ord_214
34177,15-08-2009,HIGH,Ord_215
34215,14-05-2011,HIGH,Ord_216
34246,7/10/2010,CRITICAL,Ord_217
34631,23-10-2009,NOT SPECIFIED,Ord_218
35047,9/6/2010,MEDIUM,Ord_219
35266,10/1/2011,NOT SPECIFIED,Ord_220
35847,30-01-2009,CRITICAL,Ord_221
36001,28-03-2011,LOW,Ord_222
36134,22-11-2010,LOW,Ord_223
36135,30-05-2011,NOT SPECIFIED,Ord_224
36644,13-05-2012,HIGH,Ord_225
36646,8/6/2010,MEDIUM,Ord_226
36707,29-11-2009,MEDIUM,Ord_227
37253,1/9/2012,HIGH,Ord_228
37541,26-02-2010,MEDIUM,Ord_229
37634,21-05-2012,MEDIUM,Ord_230
37793,8/11/2009,NOT SPECIFIED,Ord_231
37860,27-08-2010,MEDIUM,Ord_232
38884,17-08-2012,HIGH,Ord_233
39364,9/11/2012,HIGH,Ord_234
39457,2/6/2011,CRITICAL,Ord_235
39683,10/8/2011,HIGH,Ord_236
39846,27-02-2009,LOW,Ord_237
40036,7/6/2010,NOT SPECIFIED,Ord_238
40067,17-02-2012,LOW,Ord_239
40132,23-02-2012,LOW,Ord_240
40160,15-10-2009,CRITICAL,Ord_241
40518,13-03-2009,CRITICAL,Ord_242
40804,12/3/2010,MEDIUM,Ord_243
40902,7/7/2009,LOW,Ord_244
41063,21-11-2012,LOW,Ord_245
41153,2/3/2009,MEDIUM,Ord_246
41184,22-09-2011,HIGH,Ord_247
41409,21-07-2011,NOT SPECIFIED,Ord_248
41696,13-07-2009,NOT SPECIFIED,Ord_249
42209,29-03-2010,HIGH,Ord_250
42561,6/2/2010,LOW,Ord_251
42564,12/9/2012,LOW,Ord_252
42695,22-12-2010,NOT SPECIFIED,Ord_253
42981,30-05-2009,CRITICAL,Ord_254
43109,21-12-2012,CRITICAL,Ord_255
43203,14-02-2012,NOT SPECIFIED,Ord_256
43236,3/7/2010,NOT SPECIFIED,Ord_257
43267,16-05-2011,CRITICAL,Ord_258
43329,7/3/2010,MEDIUM,Ord_259
43330,27-04-2009,NOT SPECIFIED,Ord_260
43364,7/4/2012,HIGH,Ord_261
43392,31-12-2010,MEDIUM,Ord_262
43781,2/2/2010,NOT SPECIFIED,Ord_263
44071,15-04-2012,NOT SPECIFIED,Ord_264
44519,19-05-2010,HIGH,Ord_265
44708,27-07-2009,NOT SPECIFIED,Ord_266
44772,31-03-2009,NOT SPECIFIED,Ord_267
44839,11/6/2012,CRITICAL,Ord_268
45217,1/9/2010,NOT SPECIFIED,Ord_269
45440,9/8/2012,CRITICAL,Ord_270
45766,7/5/2010,HIGH,Ord_271
45861,25-08-2011,MEDIUM,Ord_272
45957,21-09-2010,CRITICAL,Ord_273
46912,30-06-2012,LOW,Ord_274
46980,17-01-2011,CRITICAL,Ord_275
47460,10/10/2010,CRITICAL,Ord_276
47462,9/6/2011,HIGH,Ord_277
47620,26-06-2012,LOW,Ord_278
47749,16-03-2010,MEDIUM,Ord_279
47873,13-11-2010,CRITICAL,Ord_280
47943,14-11-2009,MEDIUM,Ord_281
48101,12/9/2011,HIGH,Ord_282
48295,23-11-2009,MEDIUM,Ord_283
48839,10/7/2010,CRITICAL,Ord_284
49154,6/3/2009,MEDIUM,Ord_285
49921,17-02-2011,LOW,Ord_286
49952,19-11-2011,HIGH,Ord_287
50117,3/6/2011,CRITICAL,Ord_288
50278,25-05-2010,HIGH,Ord_289
50374,30-05-2009,NOT SPECIFIED,Ord_290
50565,30-08-2012,HIGH,Ord_291
50688,16-12-2011,CRITICAL,Ord_292
50754,9/12/2009,NOT SPECIFIED,Ord_293
50914,3/7/2012,CRITICAL,Ord_294
51169,24-12-2010,HIGH,Ord_295
51938,17-05-2011,LOW,Ord_296
51970,11/1/2012,NOT SPECIFIED,Ord_297
51971,3/10/2011,NOT SPECIFIED,Ord_298
52193,5/3/2010,NOT SPECIFIED,Ord_299
52321,5/11/2011,HIGH,Ord_300
52386,5/1/2009,HIGH,Ord_301
52807,25-11-2010,MEDIUM,Ord_302
52929,8/4/2011,HIGH,Ord_303
52964,31-03-2010,CRITICAL,Ord_304
53156,10/3/2012,NOT SPECIFIED,Ord_305
53511,20-02-2009,MEDIUM,Ord_306
53797,1/10/2009,CRITICAL,Ord_307
53990,1/11/2012,NOT SPECIFIED,Ord_308
54083,21-07-2011,HIGH,Ord_309
54274,23-11-2010,NOT SPECIFIED,Ord_310
54276,6/2/2010,NOT SPECIFIED,Ord_311
54528,4/1/2011,MEDIUM,Ord_312
54567,2/8/2009,MEDIUM,Ord_313
54628,5/6/2010,HIGH,Ord_314
55298,2/8/2009,CRITICAL,Ord_315
55363,28-12-2010,HIGH,Ord_316
55366,10/10/2012,CRITICAL,Ord_317
55715,2/4/2011,CRITICAL,Ord_318
55875,25-11-2009,CRITICAL,Ord_319
56453,11/4/2012,CRITICAL,Ord_320
57127,16-02-2010,LOW,Ord_321
57344,24-09-2010,HIGH,Ord_322
57509,21-02-2009,LOW,Ord_323
57600,11/11/2012,CRITICAL,Ord_324
58055,27-10-2011,CRITICAL,Ord_325
58144,16-12-2009,LOW,Ord_326
58150,7/5/2010,CRITICAL,Ord_327
58340,8/1/2011,MEDIUM,Ord_328
58368,9/7/2012,HIGH,Ord_329
58434,9/3/2009,HIGH,Ord_330
58626,30-12-2011,HIGH,Ord_331
58688,29-03-2009,NOT SPECIFIED,Ord_332
59045,13-02-2011,CRITICAL,Ord_333
59047,28-01-2011,NOT SPECIFIED,Ord_334
59202,8/9/2012,MEDIUM,Ord_335
59207,18-05-2009,CRITICAL,Ord_336
59234,29-07-2012,LOW,Ord_337
59395,22-04-2012,CRITICAL,Ord_338
59558,16-07-2012,NOT SPECIFIED,Ord_339
59585,22-09-2012,HIGH,Ord_340
59651,20-05-2010,CRITICAL,Ord_341
645,2/12/2009,HIGH,Ord_342
769,1/6/2010,MEDIUM,Ord_343
773,25-09-2010,MEDIUM,Ord_344
1187,19-11-2012,MEDIUM,Ord_345
2339,14-12-2010,LOW,Ord_346
3521,25-10-2012,LOW,Ord_347
4007,17-06-2010,HIGH,Ord_348
4416,29-06-2012,LOW,Ord_349
4454,1/2/2009,LOW,Ord_350
5153,25-08-2011,CRITICAL,Ord_351
5446,20-06-2009,LOW,Ord_352
8131,3/5/2010,CRITICAL,Ord_353
8994,7/4/2009,LOW,Ord_354
9027,2/9/2011,LOW,Ord_355
9216,14-04-2011,MEDIUM,Ord_356
9537,13-02-2011,NOT SPECIFIED,Ord_357
9574,30-07-2011,MEDIUM,Ord_358
10435,10/8/2010,MEDIUM,Ord_359
10851,6/4/2009,HIGH,Ord_360
10852,26-10-2010,HIGH,Ord_361
11269,26-05-2012,LOW,Ord_362
11362,10/9/2012,LOW,Ord_363
11968,16-03-2011,LOW,Ord_364
12293,18-06-2011,HIGH,Ord_365
12773,11/1/2011,LOW,Ord_366
12934,5/3/2009,NOT SPECIFIED,Ord_367
13120,14-12-2009,LOW,Ord_368
13604,2/2/2009,NOT SPECIFIED,Ord_369
13927,26-08-2009,LOW,Ord_370
15044,6/3/2012,LOW,Ord_371
15139,19-11-2009,HIGH,Ord_372
15463,24-07-2010,LOW,Ord_373
15618,4/8/2010,MEDIUM,Ord_374
16100,7/3/2011,MEDIUM,Ord_375
16320,20-10-2011,NOT SPECIFIED,Ord_376
16419,4/8/2009,NOT SPECIFIED,Ord_377
17090,28-04-2010,LOW,Ord_378
17315,22-04-2009,LOW,Ord_379
17376,4/12/2011,HIGH,Ord_380
18210,6/8/2010,NOT SPECIFIED,Ord_381
18273,15-09-2011,LOW,Ord_382
18788,2/10/2009,NOT SPECIFIED,Ord_383
19042,1/3/2009,CRITICAL,Ord_384
19073,24-06-2009,NOT SPECIFIED,Ord_385
19365,16-01-2011,MEDIUM,Ord_386
19617,20-01-2012,LOW,Ord_387
20033,21-05-2010,CRITICAL,Ord_388
21223,15-03-2012,NOT SPECIFIED,Ord_389
21378,7/8/2011,MEDIUM,Ord_390
21542,21-05-2011,HIGH,Ord_391
22656,22-12-2010,NOT SPECIFIED,Ord_392
22695,3/7/2009,LOW,Ord_393
23076,27-05-2009,CRITICAL,Ord_394
24067,22-08-2012,HIGH,Ord_395
24388,26-01-2011,CRITICAL,Ord_396
24451,3/12/2012,CRITICAL,Ord_397
24806,6/9/2010,NOT SPECIFIED,Ord_398
24965,29-03-2011,LOW,Ord_399
25154,20-08-2010,HIGH,Ord_400
25315,2/12/2010,LOW,Ord_401
25376,26-03-2011,CRITICAL,Ord_402
26240,19-12-2009,CRITICAL,Ord_403
26791,29-04-2011,LOW,Ord_404
28836,24-10-2010,HIGH,Ord_405
28995,12/5/2010,HIGH,Ord_406
29121,11/4/2010,MEDIUM,Ord_407
29319,24-01-2009,LOW,Ord_408
29382,17-11-2010,HIGH,Ord_409
29445,29-09-2010,HIGH,Ord_410
29762,3/8/2010,CRITICAL,Ord_411
30048,13-06-2011,MEDIUM,Ord_412
30243,5/5/2010,CRITICAL,Ord_413
30372,30-08-2010,HIGH,Ord_414
30499,30-10-2012,HIGH,Ord_415
32199,15-07-2009,HIGH,Ord_416
32327,7/8/2012,LOW,Ord_417
32676,1/2/2009,CRITICAL,Ord_418
32835,7/7/2012,MEDIUM,Ord_419
32869,27-03-2009,MEDIUM,Ord_420
33763,23-09-2010,NOT SPECIFIED,Ord_421
34048,28-03-2011,LOW,Ord_422
34275,1/7/2009,LOW,Ord_423
34438,11/12/2010,HIGH,Ord_424
34880,16-09-2009,HIGH,Ord_425
34978,4/2/2011,HIGH,Ord_426
35141,11/9/2010,MEDIUM,Ord_427
35300,2/3/2010,MEDIUM,Ord_428
35558,15-09-2009,CRITICAL,Ord_429
36293,30-12-2010,MEDIUM,Ord_430
36516,25-07-2011,MEDIUM,Ord_431
36677,23-12-2009,LOW,Ord_432
37185,31-10-2012,HIGH,Ord_433
37888,22-12-2009,CRITICAL,Ord_434
38310,14-04-2012,HIGH,Ord_435
40327,13-05-2011,MEDIUM,Ord_436
40480,7/12/2011,CRITICAL,Ord_437
40800,4/12/2010,NOT SPECIFIED,Ord_438
40835,24-11-2009,HIGH,Ord_439
40871,13-09-2011,NOT SPECIFIED,Ord_440
41570,3/12/2010,NOT SPECIFIED,Ord_441
41991,18-12-2011,LOW,Ord_442
42400,9/8/2012,LOW,Ord_443
42754,24-08-2010,CRITICAL,Ord_444
42918,22-05-2011,HIGH,Ord_445
42944,18-11-2012,CRITICAL,Ord_446
44037,28-06-2012,HIGH,Ord_447
44387,4/2/2009,LOW,Ord_448
44576,25-12-2009,NOT SPECIFIED,Ord_449
45601,26-09-2011,HIGH,Ord_450
45606,22-09-2011,MEDIUM,Ord_451
46119,15-02-2009,CRITICAL,Ord_452
46756,11/10/2009,MEDIUM,Ord_453
47714,10/3/2011,MEDIUM,Ord_454
47846,11/8/2012,HIGH,Ord_455
47876,25-12-2009,HIGH,Ord_456
48067,29-06-2012,LOW,Ord_457
48199,18-01-2009,NOT SPECIFIED,Ord_458
49029,20-05-2012,HIGH,Ord_459
49216,19-03-2009,HIGH,Ord_460
49990,5/9/2009,NOT SPECIFIED,Ord_461
50081,3/11/2009,NOT SPECIFIED,Ord_462
50404,26-03-2011,HIGH,Ord_463
50784,10/2/2012,HIGH,Ord_464
50850,6/5/2009,CRITICAL,Ord_465
51075,23-11-2010,NOT SPECIFIED,Ord_466
51461,10/2/2011,NOT SPECIFIED,Ord_467
51558,29-03-2010,NOT SPECIFIED,Ord_468
52130,5/9/2012,LOW,Ord_469
52482,31-01-2011,CRITICAL,Ord_470
53410,7/8/2009,CRITICAL,Ord_471
53477,5/5/2012,HIGH,Ord_472
53508,10/11/2009,HIGH,Ord_473
53703,14-06-2010,NOT SPECIFIED,Ord_474
54115,7/1/2012,LOW,Ord_475
54437,19-12-2010,HIGH,Ord_476
54501,29-11-2012,CRITICAL,Ord_477
54753,18-04-2009,MEDIUM,Ord_478
55138,24-09-2009,HIGH,Ord_479
55271,11/3/2011,MEDIUM,Ord_480
55331,13-12-2010,HIGH,Ord_481
55618,21-01-2012,MEDIUM,Ord_482
56645,6/1/2012,LOW,Ord_483
56803,10/12/2009,NOT SPECIFIED,Ord_484
57159,12/2/2010,CRITICAL,Ord_485
57507,26-06-2009,CRITICAL,Ord_486
57922,8/2/2011,CRITICAL,Ord_487
58117,20-02-2011,CRITICAL,Ord_488
58278,10/9/2012,HIGH,Ord_489
58502,12/2/2010,CRITICAL,Ord_490
58788,1/2/2010,LOW,Ord_491
58947,26-09-2011,NOT SPECIFIED,Ord_492
59074,12/8/2010,LOW,Ord_493
59233,20-08-2010,HIGH,Ord_494
59425,17-05-2012,MEDIUM,Ord_495
59750,9/7/2010,LOW,Ord_496
35,22-10-2011,NOT SPECIFIED,Ord_497
294,15-07-2010,MEDIUM,Ord_498
450,4/3/2011,NOT SPECIFIED,Ord_499
1028,5/1/2009,HIGH,Ord_500
1314,12/5/2009,MEDIUM,Ord_501
2279,22-02-2010,MEDIUM,Ord_502
2465,23-06-2011,CRITICAL,Ord_503
2530,20-03-2009,MEDIUM,Ord_504
2883,22-01-2011,LOW,Ord_505
3362,28-07-2011,LOW,Ord_506
5318,3/4/2010,HIGH,Ord_507
5988,21-11-2010,NOT SPECIFIED,Ord_508
6115,11/9/2010,MEDIUM,Ord_509
6337,31-08-2011,NOT SPECIFIED,Ord_510
6434,7/6/2009,HIGH,Ord_511
7136,22-03-2009,HIGH,Ord_512
7489,30-09-2010,CRITICAL,Ord_513
7968,15-09-2010,LOW,Ord_514
8227,10/1/2010,NOT SPECIFIED,Ord_515
9123,26-06-2010,CRITICAL,Ord_516
9792,23-07-2011,LOW,Ord_517
9860,10/10/2010,CRITICAL,Ord_518
10310,5/2/2009,LOW,Ord_519
10369,9/11/2011,LOW,Ord_520
10692,26-07-2009,LOW,Ord_521
11553,18-04-2009,MEDIUM,Ord_522
11776,24-02-2012,LOW,Ord_523
11782,28-07-2012,LOW,Ord_524
12199,14-12-2011,LOW,Ord_525
14275,13-06-2010,LOW,Ord_526
14535,1/10/2010,NOT SPECIFIED,Ord_527
15329,27-04-2012,HIGH,Ord_528
15621,24-09-2011,CRITICAL,Ord_529
17826,30-06-2012,HIGH,Ord_530
17926,10/11/2011,CRITICAL,Ord_531
18247,5/11/2009,NOT SPECIFIED,Ord_532
18471,19-02-2009,NOT SPECIFIED,Ord_533
19813,2/3/2010,CRITICAL,Ord_534
20322,28-06-2009,CRITICAL,Ord_535
20422,26-01-2009,HIGH,Ord_536
20448,2/8/2011,CRITICAL,Ord_537
21892,4/7/2010,HIGH,Ord_538
22980,1/10/2012,NOT SPECIFIED,Ord_539
23907,14-07-2011,NOT SPECIFIED,Ord_540
24064,25-07-2010,MEDIUM,Ord_541
24132,6/7/2009,LOW,Ord_542
24576,11/12/2012,NOT SPECIFIED,Ord_543
25248,1/12/2011,MEDIUM,Ord_544
25475,4/4/2009,CRITICAL,Ord_545
26978,25-06-2010,MEDIUM,Ord_546
27105,16-02-2011,NOT SPECIFIED,Ord_547
28068,26-08-2010,LOW,Ord_548
28802,4/11/2010,HIGH,Ord_549
28839,28-04-2009,LOW,Ord_550
29252,6/8/2009,LOW,Ord_551
31941,18-03-2009,MEDIUM,Ord_552
32418,5/1/2009,NOT SPECIFIED,Ord_553
34241,8/10/2012,LOW,Ord_554
34816,5/11/2010,NOT SPECIFIED,Ord_555
35011,10/12/2012,NOT SPECIFIED,Ord_556
36068,5/2/2009,CRITICAL,Ord_557
36930,28-09-2011,MEDIUM,Ord_558
37315,5/6/2012,LOW,Ord_559
37925,26-09-2010,MEDIUM,Ord_560
38021,21-01-2009,MEDIUM,Ord_561
38336,5/10/2012,CRITICAL,Ord_562
38565,25-03-2009,CRITICAL,Ord_563
39783,20-09-2012,NOT SPECIFIED,Ord_564
42500,5/2/2010,NOT SPECIFIED,Ord_565
44162,19-03-2010,HIGH,Ord_566
44256,19-11-2011,LOW,Ord_567
44320,29-04-2009,MEDIUM,Ord_568
45377,3/4/2011,LOW,Ord_569
47367,16-04-2011,MEDIUM,Ord_570
47750,15-06-2010,LOW,Ord_571
48388,9/8/2009,HIGH,Ord_572
49059,20-09-2009,MEDIUM,Ord_573
49510,20-03-2012,CRITICAL,Ord_574
49634,23-03-2012,NOT SPECIFIED,Ord_575
50210,19-07-2010,LOW,Ord_576
50503,21-11-2012,MEDIUM,Ord_577
50816,27-03-2009,HIGH,Ord_578
51073,14-05-2010,NOT SPECIFIED,Ord_579
51584,17-10-2010,CRITICAL,Ord_580
51879,24-08-2010,NOT SPECIFIED,Ord_581
52288,10/8/2011,HIGH,Ord_582
53190,24-09-2009,MEDIUM,Ord_583
53536,30-10-2012,HIGH,Ord_584
53572,7/5/2010,MEDIUM,Ord_585
53825,9/4/2011,LOW,Ord_586
53863,3/6/2010,HIGH,Ord_587
54119,22-05-2010,MEDIUM,Ord_588
56224,25-10-2012,MEDIUM,Ord_589
56293,5/1/2010,NOT SPECIFIED,Ord_590
57959,30-12-2011,MEDIUM,Ord_591
58500,14-02-2011,LOW,Ord_592
59584,28-05-2010,MEDIUM,Ord_593
261,28-06-2010,MEDIUM,Ord_594
928,1/3/2011,LOW,Ord_595
1282,27-02-2012,NOT SPECIFIED,Ord_596
1856,19-03-2012,NOT SPECIFIED,Ord_597
1925,4/3/2012,CRITICAL,Ord_598
2848,9/3/2012,CRITICAL,Ord_599
5504,5/1/2010,HIGH,Ord_600
8390,21-04-2012,MEDIUM,Ord_601
8545,17-06-2009,LOW,Ord_602
9573,13-06-2012,MEDIUM,Ord_603
9892,16-07-2012,MEDIUM,Ord_604
10048,15-05-2009,NOT SPECIFIED,Ord_605
10144,2/1/2011,CRITICAL,Ord_606
10432,5/1/2012,LOW,Ord_607
10661,23-01-2009,NOT SPECIFIED,Ord_608
12806,24-12-2011,NOT SPECIFIED,Ord_609
13158,20-11-2012,CRITICAL,Ord_610
13507,29-12-2012,MEDIUM,Ord_611
14375,31-01-2010,MEDIUM,Ord_612
